Player,Split,BA
Joe Mauer,4/1/17,0.225
Joe Mauer,5/1/17,0.346
Joe Mauer,6/1/17,0.287
Joe Mauer,7/1/17,0.262
Joe Mauer,8/1/17,0.336
Joe Mauer,9/1/17,0.343
Byron Buxton,4/1/17,0.147
Byron Buxton,5/1/17,0.254
Byron Buxton,6/1/17,0.184
Byron Buxton,7/1/17,0.387
Byron Buxton,8/1/17,0.324
Byron Buxton,9/1/17,0.27
Brian Dozier,4/1/17,0.242
Brian Dozier,5/1/17,0.255
Brian Dozier,6/1/17,0.25
Brian Dozier,7/1/17,0.24
Brian Dozier,8/1/17,0.319
Brian Dozier,9/1/17,0.308
Eddie Rosario,4/1/17,0.268
Eddie Rosario,5/1/17,0.269
Eddie Rosario,6/1/17,0.291
Eddie Rosario,7/1/17,0.321
Eddie Rosario,8/1/17,0.307
Eddie Rosario,9/1/17,0.276
Minnesota Twins,4/1/17,0.242
Minnesota Twins,5/1/17,0.26
Minnesota Twins,6/1/17,0.243
Minnesota Twins,7/1/17,0.26
Minnesota Twins,8/1/17,0.28
Minnesota Twins,9/1/17,0.269
